Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Equilibrio medio de tiempo de contacto con el suelo,Training Stress Score®,Pasos,Repeticiones totales,Series totales,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2026-05-22 16:57:24,false,"Machalí Carrera","6.09","467","00:32:20","157","169","3.6","156","160","5:18","4:49","41","31","1.15","11.2","13.0","271","50.1 % izquierda / 49.9 % derecha","0.0","4,996","--","--","17.0","No","00:00:31.7","7","24.0","00:32:10","00:32:24","542","569"
Carrera,2026-05-19 19:59:31,false,"Vitacura Carrera","3.79","306","00:23:25","149","159","2.9","155","191","6:11","5:19","39","15","1.04","11.1","11.7","287","50.3 % izquierda / 49.7 % derecha","0.0","3,602","--","--","18.0","No","00:04:42.1","4","20.0","00:22:53","00:25:49","622","662"
Carrera,2026-05-19 19:49:42,false,"Vitacura Carrera","1.22","73","00:04:32.2","169","180","2.3","173","202","3:43","2:53","9","7","1.54","7.1","10.9","230","51.0 % izquierda / 49.0 % derecha","0.0","776","--","--","19.0","No","00:00:49.7","2","22.0","00:04:23.7","00:04:32.2","639","648"
Carrera,2026-05-19 19:23:40,false,"Vitacura Carrera","1.09","80","00:06:33.2","131","139","1.4","154","160","6:02","4:54","1","7","1.06","11.0","11.6","284","49.7 % izquierda / 50.3 % derecha","0.0","1,006","--","--","22.0","No","00:00:30.4","2","23.0","00:06:21","00:06:46.0","659","666"
Carrera,2026-05-19 18:53:46,false,"Vitacura Carrera","2.02","140","00:11:00","131","144","2.2","155","171","5:27","4:47","1","7","1.16","10.5","12.3","283","49.9 % izquierda / 50.1 % derecha","0.0","1,684","--","--","19.0","No","00:00:04.6","3","26.0","00:10:48","00:11:28","684","692"
Carrera,2026-05-17 10:33:51,false,"Vitacura Carrera","2.60","206","00:20:24","135","154","2.0","156","163","7:51","6:28","21","19","0.82","--","--","--","--","0.0","3,190","--","--","22.0","No","00:04:09.8","3","27.0","00:20:10","00:20:24","635","656"
Carrera,2026-05-16 09:21:22,false,"Vitacura - ICCUS 12K","11.95","942","01:07:04","158","170","4.3","157","162","5:37","5:04","68","56","1.13","10.7","12.3","273","50.3 % izquierda / 49.7 % derecha","0.0","10,394","--","--","19.0","No","00:05:24.7","12","26.0","01:06:44","01:08:30","690","722"
Carrera,2026-05-14 19:41:02,false,"Vitacura - ICCUS 6K","6.03","440","00:34:56","135","149","3.0","152","159","5:47","5:21","41","28","1.12","11.5","13.0","283","50.5 % izquierda / 49.5 % derecha","0.0","5,294","--","--","18.0","No","00:00:09.0","7","26.0","00:34:25","00:36:49","665","704"
Carrera,2026-05-09 08:47:25,false,"Vitacura - ICCUS 10K","11.24","857","01:03:56","148","167","3.8","158","167","5:41","4:38","96","79","1.11","--","--","--","--","0.0","10,106","--","--","20.0","No","00:03:39.3","12","24.0","01:03:44","01:07:27","654","717"
Carrera,2026-05-05 19:40:58,false,"Vitacura Carrera","5.27","419","00:30:42","150","183","3.3","142","219","5:50","3:50","52","31","1.21","--","--","--","--","0.0","4,380","--","--","18.0","No","00:00:46.4","7","23.0","00:28:50","00:38:17","633","671"
Carrera,2026-05-02 10:00:51,false,"Machalí Carrera","5.01","389","00:29:26","147","161","3.0","157","166","5:52","5:25","32","33","1.09","11.3","12.5","269","50.1 % izquierda / 49.9 % derecha","0.0","4,574","--","--","20.0","No","00:00:04.4","6","24.0","00:29:20","00:29:36","582","614"
Carrera,2026-04-28 19:38:13,false,"Vitacura Carrera","5.42","408","00:35:24","130","142","2.4","159","166","6:32","4:45","36","26","0.96","10.8","10.5","281","50.2 % izquierda / 49.8 % derecha","0.0","5,592","--","--","21.0","No","00:02:44.6","6","25.0","00:35:06","00:38:25","664","699"
Carrera,2026-04-26 07:42:07,false,"Maratón De Santiago 2026","42.36","3,158","03:34:04","163","177","5.0","159","169","5:03","4:31","169","174","1.25","9.9","12.7","264","50.6 % izquierda / 49.4 % derecha","0.0","33,672","--","--","14.0","No","00:01:39.9","43","23.0","03:33:50","03:34:04","540","669"
Carrera,2026-04-25 08:38:08,false,"Vitacura Carrera","4.01","308","00:23:39","142","159","2.6","156","160","5:54","5:22","29","15","1.08","11.6","12.7","274","50.2 % izquierda / 49.8 % derecha","0.0","3,662","--","--","17.0","No","00:00:03.8","5","25.0","00:23:30","00:23:53","678","708"
Carrera,2026-04-24 19:43:02,false,"Vitacura - ICCUS 5K recovery","5.03","370","00:28:22","138","156","2.8","153","227","5:38","4:58","25","14","1.15","11.3","13.2","276","49.6 % izquierda / 50.4 % derecha","0.0","4,316","--","--","16.0","No","00:00:10.2","6","24.0","00:28:07","00:29:42","678","703"
Carrera,2026-04-23 17:24:55,false,"Vitacura - ICCUS 7K","7.31","563","00:41:36","149","164","3.3","154","159","5:41","1:29","33","56","1.14","11.2","13.0","279","50.2 % izquierda / 49.8 % derecha","0.0","6,336","--","--","23.0","No","00:01:58.0","8","28.0","00:41:04","00:43:12","664","694"
Carrera,2026-04-21 19:35:47,false,"Vitacura - ICCUS 4X400+2500+1000","6.74","490","00:38:00","140","162","3.1","149","163","5:38","4:32","58","40","1.16","10.2","12.0","274","50.1 % izquierda / 49.9 % derecha","0.0","5,600","--","--","18.0","No","00:00:01.0","16","22.0","00:37:40","00:50:40","653","690"
Carrera,2026-04-21 19:17:03,false,"Vitacura Carrera","1.00","68","00:05:41.0","128","141","1.2","152","161","5:42","5:14","23","4","1.10","11.0","12.3","274","49.8 % izquierda / 50.2 % derecha","0.0","880","--","--","21.0","No","00:05:41.0","1","23.0","00:05:08","00:06:16.9","683","690"
Carrera,2026-04-21 18:47:34,false,"Vitacura Carrera","2.17","149","00:11:37","130","139","2.1","155","159","5:21","4:50","2","29","1.19","11.0","13.3","277","49.6 % izquierda / 50.4 % derecha","0.0","1,784","--","--","21.0","No","00:00:57.9","3","26.0","00:11:31","00:11:37","680","691"
Carrera,2026-04-18 08:07:13,false,"Vitacura - ICCUS 16K fondo","18.01","1,336","01:36:24","151","167","4.2","159","188","5:21","4:31","118","101","1.17","10.4","12.4","265","50.9 % izquierda / 49.1 % derecha","0.0","15,248","--","--","20.0","No","00:00:02.8","19","26.0","01:35:56","01:55:03","651","681"
Carrera,2026-04-16 19:45:54,false,"Vitacura - ICCUS 1X2000+1X3000+1X1000","8.47","642","00:46:37","153","175","3.7","151","202","5:30","4:02","66","65","1.18","10.3","12.0","294","50.6 % izquierda / 49.4 % derecha","0.0","6,938","--","--","21.0","No","00:00:53.7","12","27.0","00:46:13","00:47:30","677","744"
Carrera,2026-04-14 20:15:26,false,"Vitacura Carrera","1.25","98","00:07:25.5","142","149","1.8","155","167","5:56","4:35","12","14","1.09","10.6","11.8","274","50.7 % izquierda / 49.3 % derecha","0.0","1,158","--","--","18.0","No","00:01:24.4","2","20.0","00:07:15","00:07:25.5","656","669"
Carrera,2026-04-14 19:17:54,false,"Vitacura - ICCUS 4x1200","6.51","465","00:35:11","145","176","3.4","148","176","5:24","3:30","61","42","1.20","9.6","11.2","270","50.6 % izquierda / 49.4 % derecha","0.0","5,154","--","--","16.0","No","00:00:42.3","14","25.0","00:34:02","00:48:40","654","693"
Carrera,2026-04-13 19:21:14,false,"Vitacura - ICCUS 6K recovery","5.49","398","00:31:47","136","151","2.8","153","180","5:47","5:17","14","22","1.12","11.4","12.9","282","49.9 % izquierda / 50.1 % derecha","0.0","4,820","--","--","22.0","No","00:02:45.5","6","29.0","00:31:24","00:33:34","670","693"
Carrera,2026-04-12 08:54:35,false,"Vitacura - ICCUS 18+3K","19.64","1,460","01:43:07","154","169","4.7","158","172","5:15","4:40","119","115","1.21","10.2","12.5","269","50.8 % izquierda / 49.2 % derecha","0.0","16,092","--","--","21.0","No","00:03:09.2","20","27.0","01:43:02","01:43:07","687","732"
Carrera,2026-04-11 10:08:32,false,"Vitacura Carrera","4.26","312","00:36:49","121","139","1.5","139","165","8:39","5:37","24","38","0.83","--","--","--","--","0.0","5,232","--","--","23.0","No","00:02:03.8","5","30.0","00:36:16","00:36:49","686","703"
Carrera,2026-04-10 20:06:07,false,"Vitacura Carrera","2.16","164","00:13:27","134","142","2.1","153","162","6:13","5:47","33","--","1.04","12.0","12.6","283","49.8 % izquierda / 50.2 % derecha","0.0","2,038","--","--","19.0","No","00:00:57.8","3","27.0","00:13:13","00:14:03","670","704"
